"video_id_seq","V2"
"XUBeH7VQaFY","Starbucks is nice but the coffee is bad"
"XUBeH7VQaFY","they missed about how it had fallen in Australia"
"XUBeH7VQaFY","If I get a grande cappuccino, it costs $3.15. I don&#39;t go to starbucks everyday, it&#39;s just a place to go if I want a treat or if I&#39;m on the road and my coffee machine didn&#39;t work. That and their cold coffee in the summer is really good as well. Everything is expensive nowadays. You just have to look for the better deals and treat your money like you would your phone. With care and caution."
"XUBeH7VQaFY","Completely failed in Australia because in Australia knows real coffee thanks to the Italians"
"XUBeH7VQaFY","music is annoying."
"XUBeH7VQaFY","I just buy Starbucks to feel bad for myself"
"XUBeH7VQaFY","yaah boii&#39;s theres dublin at <a href=\"https://www.youtube.com/watch?v=XUBeH7VQaFY&amp;t=5m32s\">5:32</a>"
"XUBeH7VQaFY","To all the rich little girls who spend so much money on their sex appeal and flock to Starbucks as if it helps their image... their coffee gives you halitosis.  Just saying <U+0001F937><U+0001F3FC><U+200D><U+2640><U+FE0F>"
"XUBeH7VQaFY","One of my biggest pet peeves in life is when people try to tell me how to talk or what words to use.  Sorry Starbucks, I’m not Italian and neither are you, so why should I learn what the hell a venti means in order to pay too much for a bitter coffee? You can f right off."
"XUBeH7VQaFY","Voice is better as compared to other videos of CNBC"
"XUBeH7VQaFY","Did she just said signature eXpsresso? In <a href=\"https://www.youtube.com/watch?v=XUBeH7VQaFY&amp;t=4m33s\">4:33</a>"
"XUBeH7VQaFY","Hi Howard Shultz wanna share some shmoney?"
"XUBeH7VQaFY","sorry, all my fault"
"XUBeH7VQaFY","Um, i drink tea"
"XUBeH7VQaFY","Great Now I want a Half Caf Caramel Chocolate Latte hold the whip...I have a problem <U+0001F614>"
"XUBeH7VQaFY","“Signature expresso “"
"XUBeH7VQaFY","coffee for people that dont know what good coffee tastes like"
"XUBeH7VQaFY","At <a href=\"https://www.youtube.com/watch?v=XUBeH7VQaFY&amp;t=3m56s\">3:56</a> the guy calls the &#39;08 crash &quot;the great recession&quot;...."
"XUBeH7VQaFY","A burnt artistic experience babey"
"XUBeH7VQaFY","Expresso lol"
"XUBeH7VQaFY","80 B Dlls? So thats like 3 big coffee cups"
"XUBeH7VQaFY","No eXpresso... <U+0001F926><U+0001F3FB><U+200D><U+2642><U+FE0F><U+0001F926><U+0001F3FB><U+200D><U+2642><U+FE0F>"
"XUBeH7VQaFY","I&#39;m not a big brand person, but Starbucks has great coffee and good service (most of the time) and that&#39;s why they&#39;re successful...."
"XUBeH7VQaFY","The narrator lost me when she pronounced &quot;espresso&quot; as &quot;ex-presso&quot;"
"XUBeH7VQaFY","Ironic how this brand was invented by a bunch of American Jews, and completely failed in the land of the Jews."
"XUBeH7VQaFY","Starbucks is the fuel for millennials,liberals,feminists,and wife’s"
"XUBeH7VQaFY","They r in jamaica and im not happy camper."
"XUBeH7VQaFY","Junk coffee."
"XUBeH7VQaFY","I hate USA. I want USA get out from South Korea."
"XUBeH7VQaFY","USA has the richest people in USA. Why the richest people in USA has not help USA people. Chinese Richests spent their money to Chinese people. But USA richest just keep their money and do not spend. USA riches are more richer than Chinese richer. Do not make more propaganda. Ok?"
"XUBeH7VQaFY","&quot;Ex-press-oh&quot; <U+0001F644> no girl"
"XUBeH7VQaFY","Video of burger King"
"XUBeH7VQaFY","Bean Juice"
"XUBeH7VQaFY","Starbucks&#39; coffee sucks. Too much caffeine, high price, overvalued"
"XUBeH7VQaFY","we have the greek coffee in greece, the company suffers to make profit in greece, we dont change our hubbits easy here, the same in italy"
"XUBeH7VQaFY","Good Video!"
"XUBeH7VQaFY","These videos are amazing keep them coming."
"XUBeH7VQaFY","People actually went to have a cup of coffee. They didnt sit on a iphone and shared pics of coffee. This is why it became what it is today!"
"XUBeH7VQaFY","&quot;High quality beans&quot; - shows roasted beans darker than the devil&#39;s soul.<br />Dark ass roast = shitty coffee, please learn."
"XUBeH7VQaFY","Somehow i don&#39;t like their coffee bean, it&#39;s like they lack a characteristic."
"XUBeH7VQaFY","Starbucks is textbook pricing strategy.  Overprice the common  coffee bean <br />yet make it affordable enough to the masses so people can feel important for 10 minutes...and repeat."
"XUBeH7VQaFY","Cool phota."
"XUBeH7VQaFY","what ? it is a business ? I thought it was a toilet !!!!"
"XUBeH7VQaFY","Westerners are known to Sell over priced products to the world and the high price creates a perception and making it a brand"
"XUBeH7VQaFY","So as long as they could make people health worst by too much sugar and chemicals, they continued same model, made billions .<br />Now market demands changed. So they are changing .<br />Cunning greedy brutes  who only cared for money while making people sick .. Shame"
"XUBeH7VQaFY","Costa is way more popular than Starbucks in the UK Starbucks is complete shit they basically just sell snapchat pictures for show-offs their coffee is horrific"
"XUBeH7VQaFY","Coffee"
"XUBeH7VQaFY","Drop Facebook and Starbucks. Toxic corporate culture."
"XUBeH7VQaFY","costa is way better"
"XUBeH7VQaFY","Why do you keep pronouncing eSpresso as eXpresso? Where do you get the ‘x’ sound? <U+0001F602>"
"XUBeH7VQaFY","Because of the white blondes"
"XUBeH7VQaFY","Selling moldy cafe"
"XUBeH7VQaFY","I see singapore, my homeland. Holla at me"
"XUBeH7VQaFY","American are suckers ... They are broke still buy costly stuffs...<br />Soon Starbucks will be a trillion dollar company... Sadly  :("
"XUBeH7VQaFY","Wow! what a good video to explain the Starbucks&#39; 47-year history so clearly!"
"XUBeH7VQaFY","I get my coffee from the gas station"
"XUBeH7VQaFY","I Am one of their barista <U+0001F612><U+0001F612>"
"XUBeH7VQaFY","I dont drink coffee. There is no nutrition in coffee. Todays milk is full of oxytocin.    So dont drink coffee."
"XUBeH7VQaFY","Stop. Saying. &quot;Expresso.&quot;<br /><br />I also found it interesting that there was little to no mention of growing competition from local coffee shops. More and more people are preferring local small businesses."
"XUBeH7VQaFY","Amazing."
"XUBeH7VQaFY","And there like 10 coffe shops in my neighborhood"
"XUBeH7VQaFY","no nutrition in water and air either<br />checkmate"
"XUBeH7VQaFY","Proud to be a Peet’s barista"
"XUBeH7VQaFY","Papa murphy&#39;s will but out Kroger shared locations , everyone wants pizza not coffee"
"XUBeH7VQaFY","Next step: wireless charging at all tables, in all Starbucks locations. Would make it my nummer one café stop :)"
"XUBeH7VQaFY","I am glad im not a coffee addict! Im saving money already."
"XUBeH7VQaFY","The reserve roastery seems pretty cool. I would like to experience those."
"XUBeH7VQaFY","7 dollars for there biggest cup frappe makes no sense its overpriced"
"XUBeH7VQaFY","That’s amazing a rostery omg"
"XUBeH7VQaFY","i already let go starbucks. i now prefer small scale coffee. more intimate and cozy"
"XUBeH7VQaFY","I read surprise and delight for a customer service class and I&#39;m glad I did. Recommend it to anyone involved with the customer service pipeline. What lean six sigma is to manufacturing."
"XUBeH7VQaFY","It sounds like Starbucks coffee is soaking up almost all the of Arabica coffee beans. Starbucks is too bitter, overpowering taste and it&#39;s way too expensive."
"XUBeH7VQaFY","Well India has Café Coffee Day if you want to burn your money…"
"XUBeH7VQaFY","I worked at Starbucks in 2017 and quit last year. They expect 200% of your output and pay only minimum wage. It was horrible. Never Again"
"XUBeH7VQaFY","because gays need their iced coffee"
"XUBeH7VQaFY","<b>GLOBOHOMO GAYPLEX</b>"
"XUBeH7VQaFY","Starbucks just like wine, it is addictive!!"
"XUBeH7VQaFY","a job at Starbucks is awaiting every gender studies, literature and sociology college graduate. <br />waking up at 4am to work the morning shift in a fancy fast food restaurant is very rewarding."
"XUBeH7VQaFY","And how it will become bankrupt in 2019"
"XUBeH7VQaFY","Nice review, thank you CNBC !"
"XUBeH7VQaFY","Now all I want is a WiFi n Starbucks coffee... sitting in a tight  n quiet corner in Starbucks store in Downtown..."
"XUBeH7VQaFY","What .. Starbucks has more than 50% market share ....I thought it was Caffe Coffee Day.... down here in Delhi , India  ...u see its branches everywhere"
"XUBeH7VQaFY","If it&#39;s expensive, drink it slowly."
"XUBeH7VQaFY","$TARBUCK$"
"XUBeH7VQaFY","China hates this."
"XUBeH7VQaFY","How many of you never drank Starbucks like here!!!"
"XUBeH7VQaFY","Their black coffee isn’t great."
"XUBeH7VQaFY","Talk about Dunkin donuts"
"XUBeH7VQaFY","How does someone at an organization like NBCUniversal produce a 7 1/2 min video on a coffee company and not pronounce “espresso” correctly?"
"XUBeH7VQaFY","Boringly written"
"XUBeH7VQaFY","CNBC, get the headline right. Starbucks is $22billion revenue a year. What is behind the $80billion you write?!"
"XUBeH7VQaFY","They are successful because they don&#39;t hire those disgusting goat fart curry smelling Indians and their kinds!"
"XUBeH7VQaFY","This great CNBC narrator doesn&#39;t even know how to pronounce &quot;espresso&quot; <U+0001F602>"
"XUBeH7VQaFY","I love drinking Starbucks skinny latte"
"XUBeH7VQaFY","<U+0001F44D><U+0001F44C>"
"XUBeH7VQaFY","<a href=\"https://www.amazon.com/Yurugu-African-Centered-Critique-European-Cultural/dp/0865432481\">https://www.amazon.com/Yurugu-African-Centered-Critique-European-Cultural/dp/0865432481</a>"
"XUBeH7VQaFY","Overpriced overroasted terrible coffee. Fantastic marketing and business skills."
"XUBeH7VQaFY","Sugar free starbucks"
"XUBeH7VQaFY","Hahaha.....When I was US, I saw my friend&#39;s card bill -500$ a month on Starbucks <U+0001F923><U+0001F923><U+0001F923>"
"XUBeH7VQaFY","Just gotta admire Howard Schultz... The game changer"
"XUBeH7VQaFY","<b>Australians chuckling in the background</b>"
"XUBeH7VQaFY","How starbucks became an 80$ business ? , Because their coffee is overpriced"
"XUBeH7VQaFY","Some drinks taste like nothing like wth"
"XUBeH7VQaFY","One day I&#39;ll be opening my own beautiful &#39;&#39;coffee&#39;&#39; stores that would surpass Starbuck in terms of customer experience and design. It&#39;s going to be a place where people will meet, have interaction with each other and feeling good about it, plus the staff will be dressed to impress and they&#39;ll love to work there."
"XUBeH7VQaFY","<U+0001F44D><U+0001F44D><U+0001F44D><U+0001F44D><U+0001F44D><U+0001F44D><U+0001F44D>"
"XUBeH7VQaFY","Chinese consumers are suckers"
"XUBeH7VQaFY","Starbucks is my church lol"
"XUBeH7VQaFY","I went the whole 2018 without buying Starbucks! I never been so proud of myself and with their racist batista&#39;s I don&#39;t plan to buy from them for a while"
"XUBeH7VQaFY","And sometimes it feels good to buy a cup of coffee. Because we live in a dull and repetitive life style. Yes, it is cooking cheap at home by 50 cents. However, sometimes it feels good to go to modern shopping mall areas or districts to buy a cup of coffee. I quite enjoy the shopping atmosphere it feels great. Starbucks provides this solution and it is successful. People demand this."
"XUBeH7VQaFY","Support local cafes and drink organic, not fast food coffee."
"XUBeH7VQaFY","Geez am I the only one who prefers to make at home instant coffee.. lol I even use some random Mexican brand."
"XUBeH7VQaFY","White girls"
"XUBeH7VQaFY","Just think about the original founders who sold Starbucks for just 3.8 million dollars..."
"XUBeH7VQaFY","Because suburban white girls."
"XUBeH7VQaFY","Because people is stupid and drink coffee because is cool. They don&#39;t like coffee actually, it&#39;s cool to be seen with that 10L bucket o sirrup , milk, sugar and 30 ml coffee in it."
"XUBeH7VQaFY","EXPRESSO<br />ESPRESSO!!!!!!!!"
"XUBeH7VQaFY","Fantastic business, addictive product, great environment to keep people there, and of course wifi. Winning."
"XUBeH7VQaFY","Peet&#39;s Coffee is locally roasted. Each pack is marked with the roasting date. I don&#39;t buy coffee that was sitting on the shelf for more than two weeks after roasting. It makes a huge difference in the taste."
"XUBeH7VQaFY","I always die inside when people pronounce espresso with &quot;x&quot; or a &quot;k&quot;. It happens so often."
"XUBeH7VQaFY","The problem is not many baristas follow the recipe of how to make a drink. Some are better than others. You never get the same taste. I’ve had many drinks with the shots burned."
"XUBeH7VQaFY","Coffee stinks. Tea tastes much better."
"XUBeH7VQaFY","Worst.  Coffee.  Ever"
"XUBeH7VQaFY","I love this narrator"
"XUBeH7VQaFY","keep the wifi reliable and people will keep coming back"
"XUBeH7VQaFY","Where I’m from, Starbucks has nothing on Dunkin Donuts"
"XUBeH7VQaFY","Only stupids would pay a coffee 4-8 dollar each"
"XUBeH7VQaFY","On the highstreet in my sleepy British town just a few minutes walk away from my house there&#39;s a vegan cafe and no fewer than four cafe bars virtually next to each other.  Adding to this there&#39;s the &quot;big coffee&quot; chainstores Cafe Nero and now Starbucks who converted an abandoned bank bulding - MY old bank branch into a coffee shop! <br /><br />Even Costa (Starbucks greatest nemesis in the UK) tried to pitch in with a coffee vending machine in the Co-op supermarket across the road.<br /><br />How many coffee places can you fit into such a small area?  I&#39;m a coffee addict and I&#39;ve only visited that area twice to get coffee in the last 6 months - could the people want their coffee fix THIS much?"
"XUBeH7VQaFY","Why don’t sell sell good tasting coffee?"
"XUBeH7VQaFY","The narrator is saying expresso, not espresso. It&#39;s annoying."
"XUBeH7VQaFY","Hey you should how Nintendo does not exist in india"
"XUBeH7VQaFY","But, shows like this are too dull because it is too long. I fall asleep."
"XUBeH7VQaFY","Let us face it. Still many white collar people are buying. They work in high buildings with store around, they have high pay. They don&#39;t care about 5 dollars a cup."
"XUBeH7VQaFY","Too bad they don&#39;t know what a cappuccino is"
"XUBeH7VQaFY","What&#39;s interesting was that Starbucks also changed perceptions in Japan, of all things. Why? Because Starbucks stores in Japan are strictly non-smoking, in sharp contrast to the more traditional coffee shops in that country. As such, Starbucks surprisingly won a lot of converts, especially among women (if I remember the story correctly)."
"XUBeH7VQaFY","Long ad much?"
"XUBeH7VQaFY","Now if only they could stop burning the beans."
"XUBeH7VQaFY","Their sugary drinks is the reason why I no longer get Starbucks. Fix that and you&#39;ll get me back."
"XUBeH7VQaFY","Coffee bean is better"
"XUBeH7VQaFY","Starbucks payed how much for this advertisement?"
"XUBeH7VQaFY","“Espresso,” not “Expresso.”"
"XUBeH7VQaFY","Yea.. I&#39;ll stick with my vietnamese ice coffee"
"XUBeH7VQaFY","Starbucks gives you free refills. I usually buy 1 cup and get 2 free refills. That works out to less than $1 a cup."
"XUBeH7VQaFY","On UPenn’s campus there r 5 Starbucks all within a 10 minute walk of each other"
"XUBeH7VQaFY","You make it sound like espresso originated from the US and starbucks"
"XUBeH7VQaFY","CNBC completely neglected the fact that Starbucks is not just a coffee business; it&#39;s a real-estate business. Look at all the property they own. Even if they closed down stores, those property values had probably shot up in the past 40 years."
"XUBeH7VQaFY","just fyi the map of starbuckses in seattle at <a href=\"https://www.youtube.com/watch?v=XUBeH7VQaFY&amp;t=5m28s\">5:28</a> is at least partially wrong"
"XUBeH7VQaFY","Starbucks sugar loaded coffees is like drinking battery acid"
"XUBeH7VQaFY","I won&#39;t give these liberals another dollar. Why haven&#39;t all good Americans boycotted them yet?"
"XUBeH7VQaFY","Why do people go to Starbucks everyday? Free wifi?<br />I&#39;d rather prefer to make a nescafe coffee at home. One can go to Starbucks once in a while to try something new. Going daily is a big loss unless you&#39;re a millionare."
"XUBeH7VQaFY","White girls. There I saved you the whole video fam"
"XUBeH7VQaFY","White girls"
"XUBeH7VQaFY","I’m so glad to have found local cafes in my area. Those have been a game changer for me in the world of coffee. Coffee for me isn’t just a some caffeine drink that you dump cream and sugar into, it is an art as well as a science."
"XUBeH7VQaFY","Expresso? Where did the ‘x’ come from?"
"XUBeH7VQaFY","Why CNBC Chanel viewers are so angry all the time."
"XUBeH7VQaFY","Americans are the most optimistic people on the planet, as they spend like crazy while being debt-ridden."
"XUBeH7VQaFY","CNBC is inexplicably obsessed with Starbucks and Apple"
"XUBeH7VQaFY","US always late......lol<br />Cafes have existed for centuries in many other countries. <br />Muricans had been drinking that poisoned pot from Diners...lol<br />Poor souls"
"XUBeH7VQaFY","Starbucks coffee is very similar to instant coffee. No thanks. My local Starbucks store closed within a year."
"XUBeH7VQaFY","Starbucks is cancer in a cup"
"XUBeH7VQaFY","That’s cool but they’re WiFi is like McDonald’s"
"XUBeH7VQaFY","Only 80B? Expected much higher to be honest. Starbucks cheapest item is a month Netflix subscription. Yet Netflix has 140B$ Market cap"
"XUBeH7VQaFY","Interpretation"
"XUBeH7VQaFY","M working there now"
"XUBeH7VQaFY","<U+0001F308><br /><U+2615><br /><U+0001F308><br /><U+2615><br /><U+0001F308><br /><U+2615><br /><U+0001F308><br /><U+2615>"
"XUBeH7VQaFY","market cap !"
"XUBeH7VQaFY","Exact !!"
"XUBeH7VQaFY","It sounds nice to drink and support local cafes, but they&#39;re about as expensive, if not more expensive than a Starbucks. Also, unlike local cafes where if one closes then you&#39;re out luck, if a Starbucks closes, you always know there will be one within a reasonable distance."
"XUBeH7VQaFY","Ethically farmed and fair trade where possible <U+0001F60A>"
"XUBeH7VQaFY","Lol"
"XUBeH7VQaFY","+Dylan Ferrier I meant , people drink coffee at Starbucks because  it&#39;s cool. I drink coffee myself. Love it !!"
"XUBeH7VQaFY","nope, coffee tastes really good. And what you described isnt coffee, it&#39;s an American abomination. Most people just have coffee with milk or not even with milk, none of this sugar and syrup flavouring crap"
"XUBeH7VQaFY","+Nicholas Littlejohn I can totally see where you&#39;re coming from, it&#39;s a tough business to try and compete. I&#39;m glad there are still local coffee places that provide a unique experience that Starbucks can&#39;t replicate."
"XUBeH7VQaFY","Except it kills real, local coffee."
"XUBeH7VQaFY","Jason Santoro this has to do with training. For some reason my managers have scheduled all of the new people with people who have only been at my store for less than a month."
"XUBeH7VQaFY","Tea is far healthier."
"XUBeH7VQaFY","Both are unhealthy fast food."
"XUBeH7VQaFY","My coffee costs 0.2$"
"XUBeH7VQaFY","that&#39;s why i steal mine"
"XUBeH7VQaFY","Lots of show off stupids. I&#39;m not impressed."
"XUBeH7VQaFY","Coffee is a drug."
"XUBeH7VQaFY","They have no education."
"XUBeH7VQaFY","+Nicholas Littlejohn yes because those people do not care. Well... Nothing to do or say about it."
"XUBeH7VQaFY","That&#39;s what they prey upon."
"XUBeH7VQaFY","Non smoking would be a real benefit for your health and for workers."
"XUBeH7VQaFY","So unhealthy, agreed! Lots of heavy ladies leave there, just look!"
"XUBeH7VQaFY","+Nicholas Littlejohn do they? I grew up with Starbucks and converted lol.<br />Does that mean you are team Starbucks?"
"XUBeH7VQaFY","They buy the cheapest coffee."
"XUBeH7VQaFY","Exactly!"
"XUBeH7VQaFY","actually it&#39;s esprexxo"
"XUBeH7VQaFY","And coffee costs like 5 cents a cup to make."
"XUBeH7VQaFY","Where? With membership, right?"
"XUBeH7VQaFY","Gross! Campus should support local and student owned coffee!"
"XUBeH7VQaFY","+Kagiso Lekoa yes, watch &quot;The Founder&quot; (movie)"
"XUBeH7VQaFY","That is correct. I think the same goes for McDonalds."
"XUBeH7VQaFY","+Nicholas Littlejohn Yup. All those chains, it&#39;s the reason why Subway is the most profitable in the business. Because they own property everywhere. But you&#39;re right, maybe some are leased out."
"XUBeH7VQaFY","I wonder how many they lease vs own. Fast food does this too."
"XUBeH7VQaFY","+BlownMacTruck and how&#39;s davidoff&#39;s coffee"
"XUBeH7VQaFY","Homer Simpson They both can taste horrible, but Nescafé is not only bad, but terrible for the environment, both in terms of waste and in terms of sourcing beans. Starbucks has far better sustainability practices, all the way down to trade prices with coffee suppliers. <br /><br />In addition, Starbucks at least uses better quality beans and has roasts that aren’t all burnt to a crisp."
"XUBeH7VQaFY","+BlownMacTruck True, but strabucks also uses heavily roasted commercial quality beans which some argue taste like burnt rubber.... It depends on which one you prefer. Personally I can barely taste any coffee aroma besides the very bitter burnt taste in starbucks."
"XUBeH7VQaFY","Karthikeyan Jayachandran A nescafe, seriously? Not only is their product terrible for the environment, the coffee is far worse. It’s not brewed at the right temperature and by the time the pods get to you, the beans are months old."
"XUBeH7VQaFY","This is why starbucks failed in Australia, we actually know what good coffee is and have local cafes in every single suburb. So no need to support a big, multinational billion dollar company when we can just support locals"
"XUBeH7VQaFY","Precisely!"
"XUBeH7VQaFY","the end of the alphabet<br />have you looked there"
"XUBeH7VQaFY","Express espresso"
"XUBeH7VQaFY","Yuxuan Huang <br />Yes, it could also be looked upon as being &quot;stupid&quot;!"
"XUBeH7VQaFY","Eh, you only live once"
"XUBeH7VQaFY","+B<U+1EA3>o Anh Vu  but that creates a bubble... spending just to avoid a great depression.<br /><br />Let&#39;s say my mom open 3 coffee shops. .. I don&#39;t want you to feel the need that you should support her small business &amp; Starbucks because &quot;we have to spend to keep economy a float&quot;.<br /><br />You shouldn&#39;t feel quilty to support everyone.<br /><br />I want you to buy wherever YOU want and if YOU want.<br /><br />my sister went to travel to Europe and she loved the way coffee is made there, that now she wants to buy a espresso machine.<br />Those things are expensive,<br />But that&#39;s what she wants, instead of going so much to our coffee place (Donkin&#39; Donuts)<br /><br />She doesn&#39;t think<br />&quot;I can&#39;t buy an expresso machine because America runs on Donkin&#39;&quot;<br /><br />Lol <U+2661><U+2661>"
"XUBeH7VQaFY","people need to buy stuffs because these companies are producing so many goods, if supply &lt; demand, boom, The Great Depression"
"XUBeH7VQaFY","We’re ending this country with a bang!"
"XUBeH7VQaFY","Howard Schultz has close friends in the executive management team of CNBC."
"XUBeH7VQaFY","Kickbacks, likely."
"XUBeH7VQaFY","+BlownMacTruck <br />Is coffee <a href=\"http://review.com/\">review.com</a> a reliable source?<br />Because I just read they rated a bean from Hawaii as #1.<br />Oh well....maybe fake news."
"XUBeH7VQaFY","+BlownMacTruck <br />Living in the coffee world since birth doesn&#39;t qualify a person to talk about coffee.<br />Ok.<br />You win...lol"
"XUBeH7VQaFY","+BlownMacTruck <br />Really? Caribbean not a thing?<br />So Blue Mountain is not a thing?<br />Alto Grande not a thing?<br />Cuban coffee?<br />Costa Rica, Guatemala,  Mexico...all in the same region."
"XUBeH7VQaFY","+Dangic23 You&#39;re kidding right? &quot;Third wave&quot; has nothing to do with the US, other than it started there. Oh and Folgers and Maxwell House are literally in every country on the planet. So I guess that means every country on the planet &quot;hasn&#39;t moved forward&quot; either.<br /><br />You have no actual understanding of coffee outside of your local little plantation, and you&#39;re definitely not qualified to speak on quality elsewhere."
"XUBeH7VQaFY","+BlownMacTruck <br />I mentioned Italy as an example for a place that doesn&#39;t go through waves.<br />They have enjoyed their burnt beans for ages."
"XUBeH7VQaFY","maybe use a different cup<br />sounds safer"
"XUBeH7VQaFY","they are wifi!"
"XUBeH7VQaFY","Dr.Z Starbucks is a franchise. They have to pay the stores employes and for all the ingredients"
"XUBeH7VQaFY","I hate coffee."
"XUBeH7VQaFY","I dont drink Starbucks.. i like coffee but dont love it, and yet Starbucks hasn&#39;t found a way to make me a frequent customer."
"XUBeH7VQaFY","Starbucks doesn&#39;t even exist over here in Adelaide, Australia so Starbucks hasn&#39;t &quot;won&quot; coffee at all. We like supporting our small business over here, and those small business owners make coffee and tea 100x better than the overly sweet and disgusting Starbucks &quot;coffee&quot;(I did try one with my mum, we both had a sip each and we promptly chucked it straight in the bin, there was NOTHING but sweetness and sugar it was the most disgusting &quot;coffee&quot; I&#39;ve ever had)."
